"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","reefs","lagoon","rug","medianhour","season","launch2","cumsum.wi"
"catch.depth.by.launch2+launch2+medianhour.by.season+reefs.by.launch2+season","depth.by.launch2+launch2+medianhour.by.season+reefs.by.launch2+season",2746.7042261303,2818.48511647638,0.00132,NA,17.98,1,0,19.817,0.195,0,1,1,0,0,1,1,1,0.195
"catch.depth.by.launch2+launch2+medianhour.by.season+reefs.by.season+season","depth.by.launch2+launch2+medianhour.by.season+reefs.by.season+season",2747.55589817957,2820.04923169962,0.00294,NA,18.3,1,0.852,21.381,0.127,0,1,1,0,0,1,1,1,0.322
"catch.depth.by.launch2+lagoon.by.season+launch2+medianhour.by.season+season","depth.by.launch2+lagoon.by.season+launch2+medianhour.by.season+season",2747.55626337276,2820.33787154335,0.0022,NA,18.42,1,0.852,21.67,0.127,0,1,0,1,0,1,1,1,0.449
"catch.depth.by.launch2+launch2+medianhour.by.season+reefs+season","depth.by.launch2+launch2+medianhour.by.season+reefs+season",2748.34111040698,2812.6930155726,0.00432,NA,15.86,1,1.637,14.025,0.086,0,1,1,0,0,1,1,1,0.535
"catch.launch2+medianhour.by.season+reefs+rug.by.launch2+season","launch2+medianhour.by.season+reefs+rug.by.launch2+season",2748.6451402005,2813.59518635614,0.00424,NA,16.02,1,1.941,14.927,0.074,0,0,1,0,1,1,1,1,0.609
"dem.depth.by.launch2+lagoon.by.season+launch2+medianhour.by.season+season","depth.by.launch2+lagoon.by.season+launch2+medianhour.by.season+season",2703.66764688677,2780.04128249835,0.00678,NA,18.54,0,0,33.151,0.255,0,1,0,1,0,1,1,1,0.255
"dem.depth.by.launch2+launch2+medianhour.by.season+reefs.by.season+season","depth.by.launch2+launch2+medianhour.by.season+reefs.by.season+season",2704.563114369,2780.37067280518,0.00816,NA,18.36,0,0.895,33.48,0.163,0,1,1,0,0,1,1,1,0.418
"dem.depth.by.launch2+launch2+medianhour.by.season+reefs+season","depth.by.launch2+launch2+medianhour.by.season+reefs+season",2705.5795649506,2772.94844035019,0.01074,NA,15.66,0,1.912,26.058,0.098,0,1,1,0,0,1,1,1,0.516
"catch_bin","launch2+medianhour.by.launch2+reefs.by.season+rug.by.launch2+season",49.5935911513688,118.471796247207,0.02145,NA,18.81,0,0,21.703,0.911,0,0,1,0,1,1,1,1,0.911
"dem_bin","depth.by.season+launch2+medianhour.by.season+reefs.by.launch2+season",125.851505078013,205.422298609772,0.04435,NA,21.86,0,0,43.247,0.184,0,1,1,0,0,1,1,1,0.184
"av_catch.launch2+medianhour+reefs.by.launch2+rug.by.launch2+season","launch2+medianhour+reefs.by.launch2+rug.by.launch2+season",2910.11301900984,2983.55818945747,0.02416,NA,16.89,0,0,22.487,0.206,0,0,1,0,1,1,1,1,0.206
"av_catch.launch2+medianhour+reefs.by.season+rug.by.launch2+season","launch2+medianhour+reefs.by.season+rug.by.launch2+season",2911.83228166716,2986.03585216479,0.01644,NA,17.24,0,1.719,24.964,0.087,0,0,1,0,1,1,1,1,0.293
