"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","reefs","lagoon","rug","medianhour","centlat","season","side","cumsum.wi"
"catch.medianhour.by.season+reefs.by.side+rug.by.side+season+side","medianhour.by.season+reefs.by.side+rug.by.side+season+side",2747.32728243657,2808.45134103461,0.00412,NA,15.04,1,0,15.996,0.116,0,0,1,0,1,1,0,1,1,0.116
"catch.medianhour.by.season+reefs+rug.by.side+season+side","medianhour.by.season+reefs+rug.by.side+season+side",2747.88783484108,2805.26017959518,0.00396,NA,13.92,1,0.561,12.805,0.088,0.001,0,1,0,1,1,0,1,1,0.204
"catch.medianhour.by.season+reefs.by.season+rug.by.side+season+side","medianhour.by.season+reefs.by.season+rug.by.side+season+side",2748.06563431229,2816.33088125311,0.00271,NA,16.89,1,0.738,23.875,0.08,0,0,1,0,1,1,0,1,1,0.284
"catch.depth.by.side+medianhour.by.season+rug.by.side+season+side","depth.by.side+medianhour.by.season+rug.by.side+season+side",2749.04248863776,2807.38261962,0.00208,NA,14.5,1,1.715,14.927,0.049,0,1,0,0,1,1,0,1,1,0.333
"dem.medianhour.by.season+reefs.by.side+rug.by.side+season+side","medianhour.by.season+reefs.by.side+rug.by.side+season+side",2707.54429857898,2772.86786305974,0.00769,NA,15.04,0,0,26.022,0.075,0,0,1,0,1,1,0,1,1,0.075
"dem.depth.by.season+lagoon.by.season+medianhour.by.season+season+side","depth.by.season+lagoon.by.season+medianhour.by.season+season+side",2708.37592967996,2779.38738625655,0.00585,NA,17.76,1,0.832,32.541,0.049,0,1,0,1,0,1,0,1,1,0.124
"dem.medianhour.by.season+reefs+rug.by.side+season+side","medianhour.by.season+reefs+rug.by.side+season+side",2708.72106640932,2769.82586039104,0.00815,NA,13.84,0,1.177,22.98,0.041,0,0,1,0,1,1,0,1,1,0.165
"dem.medianhour.by.season+reefs.by.season+rug.by.side+season+side","medianhour.by.season+reefs.by.season+rug.by.side+season+side",2708.85637852726,2779.85430608161,0.00568,NA,16.83,0,1.312,33.008,0.039,0,0,1,0,1,1,0,1,1,0.204
"dem.lagoon+medianhour+reefs.by.side+rug.by.side+side","lagoon+medianhour+reefs.by.side+rug.by.side+side",2709.02622600036,2756.90921503708,0.00116,NA,11.63,1,1.482,10.063,0.036,0.001,0,1,1,1,1,0,0,1,0.24
"dem.depth+medianhour.by.season+reefs.by.season+season+side","depth+medianhour.by.season+reefs.by.season+season+side",2709.25678041228,2768.98359136748,0.00716,NA,14.37,0,1.712,22.137,0.032,0,1,1,0,0,1,0,1,1,0.272
"dem.medianhour+reefs.by.side+rug.by.side+side","medianhour+reefs.by.side+rug.by.side+side",2709.3323796643,2753.60677624285,0.00137,NA,10.64,1,1.788,6.76,0.031,0.008,0,1,0,1,1,0,0,1,0.303
"catch_bin.lagoon.by.side+medianhour.by.side+rug.by.season+season+side","lagoon.by.side+medianhour.by.side+rug.by.season+season+side",44.8051611681625,106.049558370315,0.0373,NA,16.66,0,0,9.281,0.569,0.002,0,0,1,1,1,0,1,1,0.569
"catch_bin.medianhour.by.side+reefs.by.season+rug.by.side+season+side","medianhour.by.side+reefs.by.season+rug.by.side+season+side",45.3778107876109,107.145062403713,0.02079,NA,16.81,0,0.573,10.376,0.428,0.001,0,1,0,1,1,0,1,1,0.997
"dem_bin.centlat+medianhour.by.season+reefs.by.season+season","centlat+medianhour.by.season+reefs.by.season+season",127.494232137451,184.287811894246,0.05058,NA,15.42,0,0,22.112,0.037,0,0,1,0,0,1,1,1,0,0.037
"dem_bin.centlat+depth.by.side+medianhour.by.season+season+side","centlat+depth.by.side+medianhour.by.season+season+side",128.028205292497,187.544131118206,0.04344,NA,16.18,0,0.534,25.369,0.029,0,1,0,0,0,1,1,1,1,0.066
"dem_bin.depth+lagoon+medianhour.by.season+rug+season","depth+lagoon+medianhour.by.season+rug+season",128.452738134944,181.583839675865,0.0443,NA,14.39,0,0.959,19.408,0.023,0,1,0,1,1,1,0,1,0,0.089
"dem_bin.centlat+lagoon+medianhour.by.season+reefs.by.season+season","centlat+lagoon+medianhour.by.season+reefs.by.season+season",128.526490649057,188.95367058539,0.04952,NA,16.43,0,1.032,26.778,0.022,0,0,1,1,0,1,1,1,0,0.111
"dem_bin.depth+medianhour.by.season+rug+season+side","depth+medianhour.by.season+rug+season+side",128.592178628654,181.813101246863,0.04469,NA,14.42,0,1.098,19.638,0.022,0,1,0,0,1,1,0,1,1,0.133
"dem_bin.centlat+depth+medianhour.by.season+reefs.by.season+season","centlat+depth+medianhour.by.season+reefs.by.season+season",128.63495940415,188.958186246697,0.04181,NA,16.4,0,1.141,26.783,0.021,0,1,1,0,0,1,1,1,0,0.154
"dem_bin.lagoon+medianhour.by.season+reefs.by.season+season+side","lagoon+medianhour.by.season+reefs.by.season+season+side",128.684394859436,189.394767886619,0.05639,NA,16.51,0,1.19,27.219,0.021,0,0,1,1,0,1,0,1,1,0.175
"dem_bin.centlat+medianhour.by.season+reefs.by.season+season+side","centlat+medianhour.by.season+reefs.by.season+season+side",128.826001531813,189.131145973493,0.05203,NA,16.4,0,1.332,26.956,0.019,0,0,1,0,0,1,1,1,1,0.194
"dem_bin.depth.by.side+medianhour.by.season+rug+season+side","depth.by.side+medianhour.by.season+rug+season+side",128.915964591207,185.609321294669,0.04814,NA,15.39,0,1.422,23.434,0.018,0,1,0,0,1,1,0,1,1,0.212
"dem_bin.centlat.by.side+medianhour.by.season+reefs.by.season+season+side","centlat.by.side+medianhour.by.season+reefs.by.season+season+side",128.957497489073,192.722432153283,0.04763,NA,17.37,0,1.463,30.547,0.018,0,0,1,0,0,1,1,1,1,0.23
"dem_bin.depth+medianhour.by.season+rug.by.season+season+side","depth+medianhour.by.season+rug.by.season+season+side",129.027101357976,192.077185316921,0.04052,NA,17.17,0,1.533,29.902,0.017,0,1,0,0,1,1,0,1,1,0.247
"dem_bin.depth+lagoon+medianhour.by.season+reefs.by.season+season","depth+lagoon+medianhour.by.season+reefs.by.season+season",129.151530945615,189.152293838233,0.05138,NA,16.31,0,1.657,26.977,0.016,0,1,1,1,0,1,0,1,0,0.263
"dem_bin.depth+lagoon+medianhour.by.season+rug.by.season+season","depth+lagoon+medianhour.by.season+rug.by.season+season",129.203999023985,193.034241462708,0.04457,NA,17.39,0,1.71,30.859,0.016,0,1,0,1,1,1,0,1,0,0.279
"dem_bin.depth+medianhour.by.season+rug.by.side+season+side","depth+medianhour.by.season+rug.by.side+season+side",129.290113761852,186.122389518623,0.04774,NA,15.43,0,1.796,23.947,0.015,0,1,0,0,1,1,0,1,1,0.294
"av_catch.medianhour+reefs.by.side+rug.by.side+season+side","medianhour+reefs.by.side+rug.by.side+season+side",2913.14558247745,2975.87949664224,0.04203,NA,13.91,0,0,18.533,0.067,0,0,1,0,1,1,0,1,1,0.067
"av_catch.depth.by.season+medianhour+reefs+season+side","depth.by.season+medianhour+reefs+season+side",2913.53658511535,2972.73245792835,0.02432,NA,13.06,0,0.391,15.386,0.055,0,1,1,0,0,1,0,1,1,0.122
"av_catch.medianhour+reefs.by.season+rug.by.side+season+side","medianhour+reefs.by.season+rug.by.side+season+side",2914.02715754272,2981.81607072134,0.01811,NA,15.3,0,0.882,24.47,0.043,0,0,1,0,1,1,0,1,1,0.165
"av_catch.depth.by.season+medianhour+reefs.by.season+season+side","depth.by.season+medianhour+reefs.by.season+season+side",2914.22410911093,2984.34723891544,0.0223,NA,15.93,0,1.079,27.001,0.039,0,1,1,0,0,1,0,1,1,0.204
"av_catch.depth+medianhour+reefs.by.season+season+side","depth+medianhour+reefs.by.season+season+side",2914.42683962045,2973.06781254618,0.02061,NA,12.97,0,1.281,15.722,0.035,0,1,1,0,0,1,0,1,1,0.239
